    排名    	　　　　电影　　　　	        评分        
   139    	萤火之森　　　　　　	       8.8        
   140    	海洋　　　　　　　　	       9.0        
   141    	英雄本色　　　　　　	       8.6        
   142    	7号房的礼物　　　　	       8.7        
   143    	卢旺达饭店　　　　　	       8.9        
   144    	心迷宫　　　　　　　	       8.7        
   145    	荒蛮故事　　　　　　	       8.8        
   146    	傲慢与偏见　　　　　	       8.5        
   147    	超能陆战队　　　　　	       8.6        
   148    	虎口脱险　　　　　　	       8.9        
   149    	唐伯虎点秋香　　　　	       8.4        
   150    	海边的曼彻斯特　　　	       8.6        
   151    	蝙蝠侠：黑暗骑士崛起	       8.6        
   152    	燃情岁月　　　　　　	       8.7        
   153    	教父3　　　　　　　	       8.8        
   154    	纵横四海　　　　　　	       8.7        
   155    	时空恋旅人　　　　　	       8.6        
   156    	玩具总动员3　　　　	       8.8        
   157    	恋恋笔记本　　　　　	       8.5        
   158    	完美的世界　　　　　	       9.0        
   159    	花样年华　　　　　　	       8.5        
   160    	无人知晓　　　　　　	       9.1        
   161    	达拉斯买家俱乐部　　	       8.7        
   162    	二十二　　　　　　　	       8.7        
   163    	雨中曲　　　　　　　	       9.0        
   164    	猜火车　　　　　　　	       8.5        
   165    	魂断蓝桥　　　　　　	       8.8        
   166    	穿越时空的少女　　　	       8.6        
   167    	血战钢锯岭　　　　　	       8.7        
   168    	我是山姆　　　　　　	       8.8        
   169    	冰川时代　　　　　　	       8.5        
   170    	人工智能　　　　　　	       8.6        
   171    	爆裂鼓手　　　　　　	       8.6        
   172    	浪潮　　　　　　　　	       8.7        
   173    	朗读者　　　　　　　	       8.5        
   174    	罗生门　　　　　　　	       8.7        
   175    	未麻的部屋　　　　　	       8.8        
   176    	香水　　　　　　　　	       8.4        
   177    	被解救的姜戈　　　　	       8.6        
   178    	头脑特工队　　　　　	       8.7        
   179    	阿飞正传　　　　　　	       8.5        
   180    	可可西里　　　　　　	       8.7        
   181    	恐怖游轮　　　　　　	       8.4        
   182    	你的名字。　　　　　	       8.4        
   183    	一次别离　　　　　　	       8.7        
   184    	房间　　　　　　　　	       8.8        
   185    	追随　　　　　　　　	       8.9        
   186    	撞车　　　　　　　　	       8.6        
   187    	战争之王　　　　　　	       8.6        
   188    	模仿游戏　　　　　　	       8.6        
   189    	地球上的星星　　　　	       8.8        
   190    	一个叫欧维的男人决定去死	       8.8        
   191    	魔女宅急便　　　　　	       8.5        
   192    	忠犬八公物语　　　　	       9.0        
   193    	谍影重重　　　　　　	       8.5        
   194    	牯岭街少年杀人事件　	       8.8        
   195    	完美陌生人　　　　　	       8.6        
   196    	谍影重重2　　　　　	       8.6        
   197    	梦之安魂曲　　　　　	       8.7        
   198    	哪吒闹海　　　　　　	       8.9        
   199    	青蛇　　　　　　　　	       8.5        
   200    	惊魂记　　　　　　　	       8.9        
   201    	再次出发之纽约遇见你	       8.5        
   202    	小萝莉的猴神大叔　　	       8.5        
   203    	黑客帝国3：矩阵革命	       8.6        
   204    	东京物语　　　　　　	       9.2        
   205    	新龙门客栈　　　　　	       8.5        
   206    	源代码　　　　　　　	       8.4        
   207    	步履不停　　　　　　	       8.8        
   208    	终结者2：审判日　　	       8.6        
   209    	海街日记　　　　　　	       8.7        
   210    	绿里奇迹　　　　　　	       8.7        
   211    	末路狂花　　　　　　	       8.7        
   212    	秒速5厘米　　　　　	       8.3        
   213    	初恋这件小事　　　　	       8.3        
   214    	城市之光　　　　　　	       9.2        
   215    	碧海蓝天　　　　　　	       8.7        
   216    	无敌破坏王　　　　　	       8.7        
   217    	无耻混蛋　　　　　　	       8.5        
   218    	爱在午夜降临前　　　	       8.8        
   219    	这个男人来自地球　　	       8.5        
   220    	勇闯夺命岛　　　　　	       8.6        
   221    	疯狂的石头　　　　　	       8.3        
   222    	E.T. 外星人　　	       8.5        
   223    	卡萨布兰卡　　　　　	       8.6        
   224    	变脸　　　　　　　　	       8.4        
   225    	海盗电台　　　　　　	       8.6        
   226    	发条橙　　　　　　　	       8.5        
   227    	黄金三镖客　　　　　	       9.1        
   228    	美国丽人　　　　　　	       8.5        
   229    	彗星来的那一夜　　　	       8.4        
   230    	荒野生存　　　　　　	       8.6        
   231    	血钻　　　　　　　　	       8.5        
   232    	聚焦　　　　　　　　	       8.8        
   233    	国王的演讲　　　　　	       8.3        
   234    	英国病人　　　　　　	       8.5        
   235    	非常嫌疑犯　　　　　	       8.6        
   236    	迁徙的鸟　　　　　　	       9.1        
   237    	黑鹰坠落　　　　　　	       8.6        
   238    	勇士　　　　　　　　	       8.9        
   239    	燕尾蝶　　　　　　　	       8.6        
   240    	遗愿清单　　　　　　	       8.5        
   241    	我爱你　　　　　　　	       9.0        
   242    	穆赫兰道　　　　　　	       8.3        
   243    	叫我第一名　　　　　	       8.6        
   244    	枪火　　　　　　　　	       8.6        
   245    	荒岛余生　　　　　　	       8.5        
   246    	2001太空漫游　　	       8.7        
   247    	上帝也疯狂　　　　　	       8.7        
   248    	千钧一发　　　　　　	       8.7        
   249    	大卫·戈尔的一生　　	       8.6        
   250    	蓝色大门　　　　　　	       8.3        
